rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_name,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_mnum,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_acts,st_actserr,st_actslim,st_actsblend,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,st_uj,st_ujerr,st_ujlim,st_ujblend,st_vj,st_vjerr,st_vjlim,st_vjblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend
398,HD 16141,b,1,75.52300000,0.05500000,-0.05500000,0,0.363000,0.021000,-0.021000,0,0.26000,0.02800,-0.02800,0,,,,,38.833035,-3.560602,35.91,1.71,-1.89,0,6.830,,0,0,V (Johnson),6.621,,0,5794.00,44.00,-44.00,0,0,1.12,,,0,0,,,,,0,HD 16141 b,,,,,,,,,0,26.81,0.30,-0.30,,37.29,0.42,-0.41,,-155.500,0.000,,-437.800,0.000,,464.600,0.000,,-51.20,0.10,-0.10,0,0,4.50,G5 IV,,0,0,4.22,0.06,-0.06,0,0,,,,,0,0.170,0.030,-0.030,0,0,,,,0,1.9300,0.5000,-0.5000,0,0,0.145,0.019,0,0,,,,,,,,,6.830,,0,0,7.498,0.016,0,0,,,,,,,,,5.679,0.021,0,0,5.346,0.040,0,1,5.266,0.022,0,1,5.217,0.164,0,0,5.005,0.067,0,0,5.263,0.015,0,0,5.218,0.031,0,0,,,,,,,,,,,,,,,,
399,HD 16175,b,1,995.40000000,2.80000000,-2.80000000,0,2.148000,0.076000,-0.076000,0,4.77000,0.37000,-0.37000,0,,,,,39.257961,42.062634,59.84,3.28,-3.69,0,7.282,0.010,0,0,V (Johnson),7.095,,0,6022.00,34.00,-34.00,0,0,1.34,0.14,-0.14,0,0,,,,,0,HD 16175 b,,,,,,,,,0,17.14,0.26,-0.26,,58.35,0.91,-0.89,,-38.800,0.000,,-41.200,0.000,,56.600,0.100,,21.83,0.00,0.00,0,0,4.00,G0,,0,0,4.21,0.06,-0.06,0,0,0.508,0.032,-0.035,0,0,0.370,0.030,-0.030,0,0,3.300,0.500,-0.500,0,5.1000,,,0,0,,,,,,,,,,,,,7.282,0.010,0,0,7.926,0.015,0,0,,,,,,,,,6.166,0.039,0,0,5.922,0.029,0,0,5.853,0.021,0,0,5.896,0.114,0,1,5.778,0.049,0,1,5.880,0.014,0,0,5.813,0.043,0,0,,,,,,,,,,,,,,,,
400,HD 162020,b,1,8.42819800,0.00005600,-0.00005600,0,0.074000,,,0,14.40000,,,0,,,,,267.659821,-40.318348,31.26,1.38,-1.52,0,9.100,,0,0,V (Johnson),8.680,,0,4830.00,80.00,-80.00,0,0,0.75,,,0,0,,,,,0,HD 162020 b,,,,,,,,,0,32.52,0.24,-0.24,,30.75,0.23,-0.22,,19.100,0.100,,-26.300,0.100,,32.500,0.200,,-27.33,0.00,0.00,0,0,5.30,K3 V,,0,0,4.76,0.25,-0.25,0,0,-0.602,,,0,0,0.010,0.110,-0.110,0,0,6.000,18.000,-18.000,0,1.9000,,,0,0,,,,,,,,,,,,,9.100,,0,0,10.110,0.060,0,0,,,,,,,,,7.175,0.021,0,0,6.649,0.027,0,0,6.539,0.024,0,0,6.470,0.070,0,1,6.452,0.022,0,1,6.473,0.015,0,0,6.502,0.064,0,0,,,,,,,,,,,,,,,,
401,HD 163607,b,2,75.29000000,0.02000000,-0.02000000,0,0.360000,0.010000,-0.010000,0,0.77000,0.04000,-0.04000,0,,,,,268.418732,56.391956,69.44,2.95,-3.23,0,7.979,0.012,0,0,V (Johnson),7.766,,0,5543.00,44.00,-44.00,0,0,1.09,0.02,-0.02,0,0,1.63,0.07,-0.07,0,0,HD 163607 b,,,,,,,,,0,14.94,0.23,-0.23,,66.94,1.02,-0.99,,-75.800,0.100,,119.600,0.100,,141.600,0.100,,-0.02,0.00,0.00,0,0,4.50,G5 IV,,0,0,4.04,0.06,-0.06,0,0,0.362,0.036,-0.040,0,0,0.210,0.030,-0.030,0,0,8.600,0.600,-0.600,0,1.4900,0.5000,-0.5000,0,0,,,,,,,,,,,,,7.979,0.012,0,0,8.762,0.017,0,0,,,,,,,,,6.648,0.018,0,0,6.342,0.018,0,0,6.271,0.020,0,0,6.224,0.093,0,0,6.210,0.026,0,0,6.255,0.015,0,1,6.219,0.045,0,0,,,,,,,,,,,,,,,,
402,HD 163607,c,2,1314.00000000,8.00000000,-8.00000000,0,2.420000,0.010000,-0.010000,0,2.29000,0.16000,-0.16000,0,,,,,268.418732,56.391956,69.44,2.95,-3.23,0,7.979,0.012,0,0,V (Johnson),7.766,,0,5543.00,44.00,-44.00,0,0,1.09,0.02,-0.02,0,0,1.63,0.07,-0.07,0,0,HD 163607 c,,,,,,,,,0,14.94,0.23,-0.23,,66.94,1.02,-0.99,,-75.800,0.100,,119.600,0.100,,141.600,0.100,,-0.02,0.00,0.00,0,0,4.50,G5 IV,,0,0,4.04,0.06,-0.06,0,0,0.362,0.036,-0.040,0,0,0.210,0.030,-0.030,0,0,8.600,0.600,-0.600,0,1.4900,0.5000,-0.5000,0,0,,,,,,,,,,,,,7.979,0.012,0,0,8.762,0.017,0,0,,,,,,,,,6.648,0.018,0,0,6.342,0.018,0,0,6.271,0.020,0,0,6.224,0.093,0,0,6.210,0.026,0,0,6.255,0.015,0,1,6.219,0.045,0,0,,,,,,,,,,,,,,,,
403,HD 16417,b,1,17.24000000,0.01000000,-0.01000000,0,0.140000,0.010000,-0.010000,0,0.06960,0.00630,-0.00630,0,,,,,39.244198,-34.577976,25.54,0.41,-0.42,0,5.780,,0,0,V (Johnson),,,,,,,,0,1.20,,,0,0,,,,,0,HD 16417 b,,,,,,,,,0,,,,,,,,,,,,,,,,,,10.60,0.20,-0.20,0,0,4.10,G1 V,,0,0,,,,,0,,,,,0,0.060,,,0,0,,,,0,2.1000,,,0,0,,,,,28.470,,0,0,,,,,5.780,,0,0,6.450,,0,0,5.425,,0,0,5.085,,0,0,4.596,0.238,0,0,4.185,0.234,0,0,4.246,0.018,0,0,4.100,0.327,0,0,3.868,0.113,0,0,4.258,0.014,0,0,4.204,0.024,0,0,,,,,,,,,,,,,,,,
404,HD 164509,b,1,282.40000000,3.80000000,-3.80000000,0,0.875000,0.008000,-0.008000,0,0.48000,0.09000,-0.09000,0,,,,,270.380127,0.104556,51.81,2.72,-3.04,0,8.103,0.014,0,0,V (Johnson),7.918,,0,5922.00,44.00,-44.00,0,0,1.13,0.02,-0.02,0,0,1.06,0.03,-0.03,0,0,HD 164509 b,,,,,,,,,0,18.57,0.24,-0.24,,53.86,0.71,-0.69,,-7.900,0.100,,-20.500,0.100,,21.900,0.100,,0.01,0.00,0.00,0,0,4.50,G5 V,,0,0,4.44,0.06,-0.06,0,0,0.061,0.047,-0.052,0,0,0.210,0.030,-0.030,0,0,1.100,1.000,-1.000,0,2.4000,0.5000,-0.5000,0,0,,,,,,,,,,,,,8.103,0.014,0,0,8.724,0.019,0,0,,,,,,,,,6.938,0.030,0,0,6.665,0.061,0,0,6.586,0.021,0,0,6.594,0.080,0,0,6.545,0.024,0,0,6.582,0.016,0,0,6.593,0.067,0,0,,,,,,,,,,,,,,,,
405,HD 164595,b,1,40.00000000,0.24000000,-0.24000000,0,0.230000,,,0,0.05078,0.00856,-0.00856,0,,,,,270.162048,29.571922,28.93,0.60,-0.62,0,7.100,,0,0,V (Johnson),6.859,,0,5790.00,40.00,-40.00,0,0,0.99,0.03,-0.03,0,0,,,,,0,HD 164595 b,,,,,,,,,0,35.11,0.38,-0.38,,28.48,0.31,-0.31,,-139.000,0.000,,173.500,0.000,,222.300,0.000,,1.70,0.30,-0.30,0,0,4.20,G2 V,,0,0,4.44,0.05,-0.05,0,0,,,,,0,-0.040,0.080,-0.080,0,0,,,,0,2.1000,1.0000,-1.0000,0,0,0.159,0.021,0,0,,,,,,,,,7.100,,0,0,7.735,,0,0,,,,,,,,,5.864,0.019,0,0,5.539,0.020,0,0,5.482,0.021,0,0,5.496,0.159,0,0,5.375,0.058,0,0,5.510,0.014,0,0,5.485,0.034,0,0,,,,,,,,,,,,,,,,
406,HD 164604,b,1,606.40000000,9.00000000,-9.00000000,0,1.300000,0.050000,-0.050000,0,2.70000,1.30000,-1.30000,0,,,,,270.778900,-28.560644,37.98,2.48,-2.85,0,9.700,,0,0,V (Johnson),9.238,,0,,,,,0,0.80,,,0,0,,,,,0,HD 164604 b,,,,,,,,,0,25.95,0.27,-0.27,,38.54,0.41,-0.40,,-34.100,0.100,,-42.200,0.100,,54.300,0.200,,7.20,0.60,-0.60,0,0,5.20,K2 V,,0,0,,,,,0,,,,,0,-0.180,,,0,0,,,,0,2.0000,,,0,0,,,,,,,,,,,,,9.700,,0,0,10.877,0.066,0,0,,,,,,,,,7.784,0.024,0,0,7.306,0.038,0,0,7.169,0.020,0,0,7.102,0.040,0,0,7.194,0.022,0,0,7.203,0.029,0,1,7.091,0.138,0,1,,,,,,,,,,,,,,,,
407,HD 164922,b,2,1201.10000000,5.60000000,-5.50000000,0,2.115000,0.012000,-0.012000,0,0.33855,0.01542,-0.01510,0,,,,,270.628601,26.313002,22.13,0.27,-0.27,0,6.990,,0,0,V (Johnson),6.736,,0,5293.00,32.00,-32.00,0,0,0.87,0.01,-0.01,0,0,1.00,0.02,-0.02,0,0,HD 164922 b,,,,,,,,,0,45.38,0.29,-0.29,,22.04,0.14,-0.14,,389.700,0.000,,-602.500,0.000,,717.500,0.000,,20.20,,,0,0,4.90,G9 V,,0,0,4.39,0.01,-0.01,0,0,-0.153,0.010,-0.011,0,0,0.160,0.050,-0.050,0,0,,,,0,2.0000,,,1,0,0.158,0.021,0,0,,,,,,,,,6.990,,0,0,7.810,0.010,0,0,,,,,,,,,5.553,0.025,0,0,5.203,0.017,0,0,5.113,0.020,0,0,5.118,0.143,0,1,5.018,0.088,0,1,5.164,0.015,0,1,5.108,0.033,0,0,,,,,,,,,,,,,,,,
408,HD 164922,c,2,75.76500000,0.05800000,-0.05600000,0,0.335100,0.001500,-0.001500,0,0.04059,0.00503,-0.00503,0,,,,,270.628601,26.313002,22.13,0.27,-0.27,0,6.990,,0,0,V (Johnson),6.736,,0,5293.00,32.00,-32.00,0,0,0.87,0.01,-0.01,0,0,1.00,0.02,-0.02,0,0,HD 164922 c,,,,,,,,,0,45.38,0.29,-0.29,,22.04,0.14,-0.14,,389.700,0.000,,-602.500,0.000,,717.500,0.000,,20.20,,,0,0,4.90,G9 V,,0,0,4.39,0.01,-0.01,0,0,-0.153,0.010,-0.011,0,0,0.160,0.050,-0.050,0,0,,,,0,2.0000,,,1,0,0.158,0.021,0,0,,,,,,,,,6.990,,0,0,7.810,0.010,0,0,,,,,,,,,5.553,0.025,0,0,5.203,0.017,0,0,5.113,0.020,0,0,5.118,0.143,0,1,5.018,0.088,0,1,5.164,0.015,0,1,5.108,0.033,0,0,,,,,,,,,,,,,,,,
409,HD 165155,b,1,434.50000000,2.10000000,-2.10000000,0,1.130000,0.040000,-0.040000,0,2.89000,0.23000,-0.23000,0,,,,,271.488953,-29.917253,64.98,7.26,-7.26,0,9.360,,0,0,V (Johnson),,,,5426.00,100.00,-100.00,0,0,1.02,0.05,-0.05,0,0,0.95,0.11,-0.11,0,0,HD 165155 b,,,,,,,,,0,,,,,,,,,,,,,,,,,,14.60,0.30,-0.30,0,0,4.80,G8 V,,0,0,4.49,0.11,-0.11,0,0,-0.155,0.047,-0.053,0,0,0.090,0.100,-0.100,0,0,11.000,4.000,-4.000,0,1.5000,0.1000,-0.1000,0,0,,,,,,,,,,,,,9.360,,0,0,10.197,0.038,0,0,,,,,,,,,8.027,0.023,0,0,7.690,0.042,0,0,7.584,0.020,0,0,7.524,0.026,0,1,7.597,0.020,0,1,7.621,0.019,0,0,7.936,0.252,0,0,,,,,,,,,,,,,,,,
410,HD 1666,b,1,270.00000000,0.80000000,-0.90000000,0,0.940000,0.010000,-0.020000,0,6.43000,0.31000,-0.22000,0,,,,,5.218085,-19.931225,110.62,11.12,-13.91,0,8.170,,0,0,V (Johnson),8.027,,0,6317.00,44.00,-44.00,0,0,1.50,0.07,-0.07,0,0,1.93,0.49,-0.49,0,0,HD 1666 b,,,,,,,,,0,8.47,0.23,-0.23,,118.03,3.35,-3.17,,-8.500,0.100,,-59.800,0.000,,60.400,0.100,,17.50,0.50,-0.50,0,0,3.70,F7 V,,0,0,4.06,0.06,-0.06,0,0,0.730,0.086,-0.108,0,0,0.370,0.040,-0.040,0,0,1.760,0.200,-0.200,0,5.6000,0.5000,-0.5000,0,0,,,,,,,,,,,,,8.170,,0,0,8.700,,0,0,,,,,,,,,7.269,0.035,0,0,7.063,0.042,0,0,6.964,0.022,0,0,6.882,0.073,0,1,6.932,0.020,0,0,6.989,0.017,0,1,6.917,0.134,0,0,,,,,,,,,,,,,,,,
411,HD 166724,b,1,5144.00000000,705.00000000,-467.00000000,0,5.420000,0.430000,-0.430000,0,3.53000,0.11000,-0.11000,0,,,,,273.498657,-42.575375,42.99,2.54,-2.88,0,9.344,0.022,0,0,V (Johnson),8.995,,0,5127.00,52.00,-52.00,0,0,0.81,0.02,-0.02,0,0,,,,,,HD 166724 b,,,,,,,,,0,22.34,0.33,-0.33,,44.76,0.67,-0.65,,36.300,0.100,,-80.100,0.100,,87.900,0.100,,-17.62,0.00,0.00,0,0,5.00,K0 IV-V,,0,0,4.43,0.08,-0.08,0,0,-0.509,,,0,0,-0.090,0.030,-0.030,0,0,4.000,3.800,-3.800,0,1.4200,,,0,0,,,,,,,,,,,,,9.344,0.022,0,0,10.201,0.034,0,0,,,,,,,,,7.752,0.021,0,0,7.414,0.055,0,0,7.246,0.024,0,0,7.186,0.037,0,0,7.256,0.019,0,0,7.246,0.018,0,0,7.215,0.110,0,0,,,,,,,,,,,,,,,,
412,HD 167042,b,1,420.77000000,3.48000000,-3.11000000,0,1.320000,0.030000,-0.040000,0,1.70000,0.09000,-0.12000,0,,,,,272.631836,54.286552,50.00,1.24,-1.31,0,5.940,,0,0,V (Johnson),,,,4943.00,12.00,-12.00,0,0,1.50,0.20,-0.20,0,0,4.50,0.20,-0.20,0,0,HD 167042 b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.10,K1 IV,,0,0,3.28,0.05,-0.05,0,0,1.000,,,0,0,0.000,0.020,-0.020,0,0,,,,,0.6700,,,0,0,0.121,0.005,0,0,,,,,7.600,,0,0,5.940,,0,0,6.880,,0,0,,,,,,,,,3.933,0.230,0,0,3.557,0.198,0,0,3.550,0.238,0,0,3.772,0.225,0,1,3.490,0.232,0,1,3.748,0.014,0,1,3.702,0.022,0,0,,,,,,,,,,,,,,,,
413,HD 168443,b,2,58.11247000,0.00030000,-0.00030000,0,0.293100,0.001810,,0,7.65900,0.09750,-0.09750,0,,,,,275.016388,-9.595722,37.88,1.18,-1.26,0,6.917,0.011,0,0,V (Johnson),,,,5491.00,44.00,-44.00,0,0,0.99,0.02,-0.02,0,0,1.51,0.06,-0.06,0,0,HD 168443 b,,,,,,,,,0,,,,,,,,,,,,,,,,,,-0.05,0.00,0.00,0,0,4.50,G5,,0,0,4.07,0.06,-0.06,0,0,,,,,0,0.040,0.030,-0.030,0,0,,,,0,2.2000,0.5000,-0.5000,0,0,0.143,0.019,0,0,,,,,,,,,6.917,0.011,0,0,7.652,0.016,0,0,,,,,,,,,5.641,0.019,0,0,5.325,0.016,0,0,5.211,0.015,0,0,5.153,0.169,0,0,5.075,0.071,0,0,5.230,0.017,0,0,5.169,0.031,0,0,,,,,,,,,,,,,,,,
414,HD 168443,c,2,1749.83000000,0.57000000,-0.57000000,0,2.837300,0.018000,-0.018000,0,17.19300,0.21000,-0.21000,0,,,,,275.016388,-9.595722,37.88,1.18,-1.26,0,6.917,0.011,0,0,V (Johnson),,,,5491.00,44.00,-44.00,0,0,0.99,0.02,-0.02,0,0,1.51,0.06,-0.06,0,0,HD 168443 c,,,,,,,,,0,,,,,,,,,,,,,,,,,,-0.05,0.00,0.00,0,0,4.50,G5,,0,0,4.07,0.06,-0.06,0,0,,,,,0,0.040,0.030,-0.030,0,0,,,,0,2.2000,0.5000,-0.5000,0,0,0.143,0.019,0,0,,,,,,,,,6.917,0.011,0,0,7.652,0.016,0,0,,,,,,,,,5.641,0.019,0,0,5.325,0.016,0,0,5.211,0.015,0,0,5.153,0.169,0,0,5.075,0.071,0,0,5.230,0.017,0,0,5.169,0.031,0,0,,,,,,,,,,,,,,,,
415,HD 168746,b,1,6.40400000,0.00140000,-0.00140000,0,0.065900,0.003800,-0.003800,0,0.24800,0.02300,-0.02300,0,,,,,275.457428,-11.922684,43.12,1.71,-1.86,0,7.946,0.013,0,0,V (Johnson),7.742,,0,5564.00,,,0,0,0.93,,,0,0,,,,,0,HD 168746 b,,,,,,,,,0,23.79,0.31,-0.31,,42.04,0.55,-0.54,,-22.900,0.100,,-68.400,0.000,,72.100,0.100,,-25.56,0.00,0.00,0,0,4.50,G5,,0,0,4.52,,,0,0,,,,,0,0.078,,,0,0,,,,0,1.0000,,,0,0,0.155,0.020,0,0,,,,,,,,,7.946,0.013,0,0,8.664,0.019,0,0,,,,,,,,,6.679,0.034,0,0,6.329,0.029,0,0,6.253,0.024,0,0,5.766,0.069,0,1,6.213,0.024,0,1,6.256,0.022,0,0,5.632,0.063,0,0,,,,,,,,,,,,,,,,
416,HD 1690,b,1,533.00000000,1.70000000,-1.70000000,0,1.300000,0.020000,-0.020000,0,6.10000,0.90000,-0.90000,0,,,,,5.305497,-8.281169,7.01,,,-1,9.170,,0,0,V (Johnson),8.651,,0,4393.00,85.00,-85.00,0,0,1.09,0.15,-0.15,0,0,16.70,3.60,-3.60,0,0,HD 1690 b,,,,,,,,,0,1.48,0.42,-0.42,,673.70,263.86,-147.96,,13.400,0.100,,2.900,0.000,,13.700,0.100,,18.23,0.03,-0.03,0,0,5.10,K1 III,,0,0,2.12,0.17,-0.17,0,0,1.520,,,0,0,-0.320,0.060,-0.060,0,0,6.700,3.200,-3.200,0,3.5000,,,0,0,,,,,,,,,,,,,9.170,,0,0,10.486,0.048,0,0,,,,,,,,,6.877,0.025,0,0,6.229,0.038,0,0,6.018,0.026,0,0,5.912,0.100,0,1,5.920,0.039,0,1,6.002,0.018,0,0,5.875,0.050,0,0,,,,,,,,,,,,,,,,
417,HD 169830,b,2,225.62000000,0.22000000,-0.22000000,0,0.810000,,,0,2.88000,,,0,,,,,276.956177,-29.816866,36.32,1.16,-1.24,0,5.902,0.010,0,0,V (Johnson),,,,6299.00,,,0,0,1.40,,,0,0,,,,,0,HD 169830 b,,,,,,,,,0,,,,,,,,,,,,,,,,,,-17.21,0.01,-0.01,0,0,3.80,F8 V,,0,0,4.10,,,0,0,0.662,,,0,0,0.210,,,0,0,2.800,,,0,3.3000,,,0,0,0.140,0.018,0,0,,,,,,,,,5.902,0.010,0,0,6.407,0.014,0,0,,,,,,,,,4.974,0.018,0,0,4.778,0.022,0,0,4.688,0.024,0,1,4.648,0.193,0,0,4.437,0.121,0,0,4.632,0.014,0,0,4.644,0.028,0,0,,,,,,,,,,,,,,,,
418,HD 169830,c,2,2102.00000000,264.00000000,-264.00000000,0,3.600000,,,0,4.04000,,,0,,,,,276.956177,-29.816866,36.32,1.16,-1.24,0,5.902,0.010,0,0,V (Johnson),,,,6299.00,,,0,0,1.40,,,0,0,,,,,0,HD 169830 c,,,,,,,,,0,,,,,,,,,,,,,,,,,,-17.21,0.01,-0.01,0,0,3.80,F8 V,,0,0,4.10,,,0,0,0.662,,,0,0,0.210,,,0,0,2.800,,,0,3.3000,,,0,0,0.140,0.018,0,0,,,,,,,,,5.902,0.010,0,0,6.407,0.014,0,0,,,,,,,,,4.974,0.018,0,0,4.778,0.022,0,0,4.688,0.024,0,1,4.648,0.193,0,0,4.437,0.121,0,0,4.632,0.014,0,0,4.644,0.028,0,0,,,,,,,,,,,,,,,,
419,HD 170469,b,1,1145.00000000,18.00000000,-18.00000000,0,2.100000,,,0,0.67000,,,0,,,,,277.295746,11.695502,64.98,4.37,-5.05,0,8.210,,0,0,V (Johnson),8.009,,0,5810.00,44.00,-44.00,0,0,1.14,0.01,-0.05,0,0,1.22,0.04,-0.04,0,0,HD 170469 b,,,,,,,,,0,16.52,0.23,-0.23,,60.55,0.87,-0.85,,-48.300,0.100,,-17.800,0.100,,51.500,0.100,,-60.20,0.20,-0.20,0,0,4.50,G5 IV,,0,0,4.32,0.06,-0.06,0,0,0.204,,,0,0,0.300,0.030,-0.030,0,0,6.700,0.600,-0.900,0,1.7000,0.5000,-0.5000,0,0,0.147,0.019,0,0,,,,,,,,,8.210,,0,0,8.860,0.017,0,0,,,,,,,,,7.047,0.020,0,0,6.779,0.034,0,0,6.707,0.018,0,0,6.675,0.070,0,1,6.680,0.021,0,1,6.696,0.016,0,0,6.554,0.061,0,0,,,,,,,,,,,,,,,,
420,HD 17092,b,1,359.90000000,2.40000000,-2.40000000,0,,,,,4.60000,0.30000,-0.30000,0,,,,,41.592117,49.653076,,,,,,,,,,7.252,,0,4650.00,35.00,-35.00,0,0,2.30,0.30,-0.30,0,0,,,,,0,HD 17092 b,,,,,,,,,0,4.44,0.25,-0.25,,225.31,13.45,-12.02,,39.900,0.500,,-10.100,0.400,,41.200,0.600,,,,,,,5.00,K0 III,,0,0,3.00,0.12,-0.12,0,0,,,,,0,0.220,0.080,-0.080,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,8.999,0.019,0,0,,,,,,,,,5.530,0.020,0,0,5.007,0.018,0,0,4.807,0.016,0,0,4.782,0.180,0,0,4.702,0.086,0,1,4.780,0.014,0,0,4.721,0.029,0,0,,,,,,,,,,,,,,,,
421,HD 171028,b,1,550.00000000,3.00000000,-3.00000000,0,1.320000,,,0,1.98000,,,0,,,,,278.064527,6.945743,90.00,,,0,8.310,,0,0,V (Johnson),8.056,,0,5663.00,20.00,-20.00,0,0,0.99,0.08,-0.08,0,0,1.95,0.26,-0.26,0,0,HD 171028 b,,,,,,,,,0,8.86,0.23,-0.23,,112.87,2.97,-2.82,,-42.800,0.600,,-14.900,0.500,,45.300,0.800,,13.64,0.00,0.00,0,0,4.00,G0,,0,0,3.84,0.05,-0.05,0,0,,,,,0,-0.490,0.020,-0.020,0,0,8.500,2.500,-2.500,0,2.3000,,,0,0,,,,,,,,,,,,,8.310,,0,0,8.934,0.017,0,0,,,,,,,,,6.990,0.027,0,0,6.663,0.036,0,0,6.604,0.027,0,0,6.550,0.050,0,0,6.487,0.021,0,1,6.534,0.016,0,0,6.476,0.064,0,0,,,,,,,,,,,,,,,,
422,HD 171238,b,1,1523.00000000,40.00000000,-45.00000000,0,2.540000,0.060000,-0.060000,0,2.60000,0.15000,-0.15000,0,,,,,278.681976,-28.072313,44.05,2.33,-2.61,0,8.660,,0,0,V (Johnson),8.378,,0,5467.00,55.00,-55.00,0,0,0.94,0.03,-0.03,0,0,,,,,0,HD 171238 b,,,,,,,,,0,22.69,0.38,-0.38,,44.08,0.75,-0.72,,-29.000,0.100,,-109.700,0.100,,113.500,0.100,,21.64,0.00,0.00,0,0,5.00,K0 V,,0,0,4.43,0.04,-0.04,0,0,,,,,0,0.170,0.070,-0.070,0,0,4.920,4.110,-4.110,0,1.4800,,,0,0,,,,,,,,,,,,,8.660,,0,0,9.410,0.029,0,0,,,,,,,,,7.244,0.019,0,0,6.868,0.022,0,0,6.831,0.017,0,0,6.781,0.076,0,0,6.835,0.021,0,1,6.831,0.018,0,0,6.618,0.077,0,0,,,,,,,,,,,,,,,,
423,HD 17156,b,1,21.21663000,0.00045000,-0.00045000,0,0.161400,0.002200,-0.002200,0,3.22000,0.08000,-0.08000,0,1.020,0.080,-0.080,0,42.435364,71.753235,75.00,,,0,8.172,0.031,0,0,V (Johnson),7.998,,0,6100.00,75.00,-75.00,0,0,1.24,0.03,-0.03,0,0,1.44,0.08,-0.08,0,0,HD 17156 b,3.22000,0.08000,-0.08000,0,11.430,0.900,-0.900,0,0,12.53,0.25,-0.25,,79.82,1.61,-1.55,,90.800,0.100,,-33.100,0.100,,96.600,0.100,,,,,,,4.00,G0 V,,0,0,4.22,0.05,-0.05,0,0,0.412,0.057,-0.065,0,0,,,,,0,2.800,1.000,-1.000,0,1.5000,0.7000,,0,,,,,,,,,,,,,,8.172,0.031,0,0,8.780,0.017,0,0,,,,,,,,,7.080,0.018,0,0,6.857,0.027,0,0,6.763,0.024,0,0,6.796,0.069,0,0,6.778,0.021,0,0,6.794,0.015,0,0,6.680,0.061,0,0,,,,,,,,,,,,,,,,
424,HD 173416,b,1,323.60000000,2.20000000,-2.20000000,0,1.160000,0.060000,-0.060000,0,2.70000,0.30000,-0.30000,0,,,,,280.900452,36.556606,134.95,9.01,-10.40,0,6.057,,0,0,V (Johnson),,,,4683.00,100.00,-100.00,0,0,2.00,0.30,-0.30,0,0,13.50,0.90,-0.90,0,0,HD 173416 b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4.80,G8,,0,0,2.48,0.10,-0.10,0,0,1.892,0.052,-0.060,0,0,-0.220,0.090,-0.090,0,0,,,,0,,,,,,,,,,,,,,,,,,6.057,,0,0,7.094,0.015,0,0,,,,,,,,,4.580,0.264,0,0,3.929,0.232,0,0,3.814,0.354,0,0,3.612,0.312,0,1,3.296,0.214,0,1,3.640,0.032,0,1,3.524,0.020,0,0,,,,,,,,,,,,,,,,
